Category,Name,Street,Misc.,City,State,ZIP,Number,Description
Hotel & Resort,Ala Moana Hotel,410 Atkinson Dr,,Honolulu,HI ,96814,(808) 955-4811,"A block from Ala Moana Beach Park and a 6-minute walk from the Hawaii Convention Center, this relaxed high-rise hotel is 1.3 miles from Waikiki Beach."
Hotel & Resort,Aqua Aloha Surf Waikiki Hotel,444 Kānekapōlei St,,Honolulu,HI ,96815,(808) 923-0222,This tropical hotel with surf decor is a mile from both Kuhio Beach Park and the Honolulu Zoo.
Hotel & Resort,Aqua Bamboo Hotel,2425 Kūhiō Ave,,Honolulu,HI ,96815,(808) 922-7777,"Set in a commercial area, this modern hotel is 4 minutes' walk from Waikiki Beach, 3 miles from the hiking trails at Diamond Head and 10 minutes' walk from the Honolulu Zoo. 
"
Hotel & Resort,Aqua Pacific Monarch,2427 Kūhiō Ave,,Honolulu,HI ,96815,(808) 923-9805,"This relaxed, all-suite hotel is 0.2 miles from both Kuhio Beach and Waikiki Beach, and 0.5 miles from Honolulu Zoo. "
Hotel & Resort,Aqua Palms Hotel,1850 Ala Moana Blvd,,Honolulu,HI ,96815,(808) 947-7256,"An 8-minute walk from Kahanamoku Beach, this relaxed, modern hotel is also a mile from upscale shopping at the Ala Moana Center and 2 miles from Waikiki Aquarium. "
Hotel & Resort,DoubleTree By Hilton Alana - Waikiki Beach,1956 Ala Moana Blvd,,Honolulu,HI ,96815,(808) 941-7275,"This modern hotel in Honolulu's Waikiki area is 8 minutes' walk from Kahanamoku Beach and lagoon and 17 minutes' drive from Honolulu International Airport. 
"
Hotel & Resort,Hale Koa Hotel,2055 Kalia Rd,,Honolulu,HI ,96815,(808) 955-0555,"Set along Kahanamoku Beach on the Pacific Ocean, this casual hotel is 2 miles from Honolulu Zoo and 8 miles from Daniel K. Inouye International Airport. "
Hotel & Resort,Hawaii Prince Hotel Waikiki and Golf Club,100 Holomoana St,,Honolulu,HI ,96815,(855) 622-7558,"On Ala Wai harbor, this upscale high-rise resort is an 11-minute walk from Ala Moana Beach Park and 8 miles from Honolulu International Airport. 
"
Hotel & Resort,Hilton Hawaiian Village,2005 Kalia Rd,,Honolulu,HI ,96815,(808) 949-4321,"Occupying 5 high-rise towers on a 22-acre property along Waikiki Beach, this lively hotel is a 13-minute walk from the Hawaii Convention Center and 3 miles from downtown Honolulu."
Hotel & Resort,Hilton Waikiki Beach Hotel,2500 Kūhiō Ave,,Honolulu,HI ,96815,(808) 922-0811,"Located a block from Waikiki beach, this modern hotel is also a 7-minute walk from Honolulu Zoo and a 15-minute walk from Kapiolani Park."
